Username,Datetime,Text
Nieb77,2022-12-01 23:59:18+00:00,I have my 11 yr old plus my 1-2 hr daily commute to thank for this honor. 😂#SpotifyWrapped https://t.co/6wJh4Dn7Zp
_yeonhwa06,2022-12-01 23:59:17+00:00,"Hello @Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really that scared of their power? Care to explain?
@jungkook 
V-ami"
bellatrianap,2022-12-01 23:59:17+00:00,"Thanks @thegreatkhalid for spending 1,597 minutes with me in 2022. I couldn’t stop listening to Present. #SpotifyWrapped https://t.co/LJCAGd7z1M"
Little_Lady6010,2022-12-01 23:59:17+00:00,I didn’t even look at my Spotify wrapped yet lol
KimMaricris26,2022-12-01 23:59:16+00:00,"Finally, #ChristmasTree is now included on my #SpotifyWrapped  And it's my top one, as it should.

WELCOME TAECEMBER

I VOTE #KIMTAEHYUNG for Asian Celebrity of the Year #ACOTY2022 #NETIZENSREPORT @thenreport #ACOTY2022KIMTAEHYUNG https://t.co/fViN8vpN9h"
M45711618,2022-12-01 23:59:16+00:00,في الشتاء يصبح كل شيءٍ عذباً 🎶💛#موسيقى #حب #اخر_الليل #music #Love #lovelife #الشتاء #ليالي_الشتاء #طرب #طاقة_حب #SpotifyWrapped  #Candy https://t.co/6AZnhzucTk
AnimatedStrugg1,2022-12-01 23:59:16+00:00,"Thanks Daddyphatsnaps for spending 1,114 minutes with me in 2022. I couldn’t stop listening to Over The Top (Baki). #SpotifyWrapped https://t.co/Obvy3aMpb0"
Karthi15786785,2022-12-01 23:59:16+00:00,Thanks Devi Sri Prasad for spending 243 minutes with me in 2022. I couldn’t stop listening to Dheemthanakka Thillana. #SpotifyWrapped https://t.co/OCOiqkVLQP
JessenioA,2022-12-01 23:59:14+00:00,"HELP RT PLSS 📢
want to sell aab haechan
di offer karena stop collect
Ayo habisinn huhu😭😭😭😭
#SpotifyWrapped #HAECHAN #HAECHANAYOJADIPACARKU #zonauangᅠ #zonajajanᅠᅠᅠ #zonacuan https://t.co/iMdg70HYaW"
backpacking_me,2022-12-01 23:59:13+00:00,"Thanks @taylorswift13 for spending 20,780 minutes with me in 2022. I couldn’t stop listening to Only The Young - Featured in Miss Americana. #SpotifyWrapped https://t.co/AQ1yKcLt8u"
zeen__zoned,2022-12-01 23:59:13+00:00,Thanks B.I for spending 716 minutes with me in 2022. I couldn’t stop listening to BTBT. #SpotifyWrapped https://t.co/IRrkKE6a82
TerijerramJ,2022-12-01 23:59:13+00:00,Thanks Brandi Carlile for spending 175 minutes with me in 2022. I couldn’t stop listening to You and Me On The Rock (feat. Lucius). #SpotifyWrapped https://t.co/cyOGzy5zCP
IrishRusty,2022-12-01 23:59:13+00:00,"Thanks Louder with Crowder for being my top podcast on @Spotify this year. I loved all 6,025 minutes of it. #SpotifyWrapped https://t.co/CnLsHPDrNV"
myuteume,2022-12-01 23:59:13+00:00,"This year, I spent 9,904 minutes listening. Think you topped that? Find out with #SpotifyWrapped 
https://t.co/7qA8MqndHf"
lilecityofsnow,2022-12-01 23:59:12+00:00,My top artist of 2022. Who was yours? #SpotifyWrapped  https://t.co/G3y6mQEvEL
Aile_F1,2022-12-01 23:59:11+00:00,These were the songs I had on repeat this year. What were yours? #SpotifyWrapped  https://t.co/k1dbInrQ0R
pie_rmk,2022-12-01 23:59:11+00:00,"Thanks SIE Sound Team for spending 1,398 minutes with me in 2022. I couldn’t stop listening to The Hunter. #SpotifyWrapped https://t.co/OltQhGvROq"
CynicAlbertan,2022-12-01 23:59:11+00:00,"Thanks NOFX for spending 1,564 minutes with me in 2022. I couldn’t stop listening to I Love You More Than I Hate Me. #SpotifyWrapped https://t.co/ZvRfNkXB7s"
Priyankaaaaaas,2022-12-01 23:59:10+00:00,Thanks Gurnam Bhullar for spending 247 minutes with me in 2022. I couldn’t stop listening to Beliya. #SpotifyWrapped https://t.co/1Hiq0gpSWM
daffalfirrosy,2022-12-01 23:59:10+00:00,Thanks @nikizefanya for spending 514 minutes with me in 2022. I couldn’t stop listening to Indigo. #SpotifyWrapped https://t.co/MZZOm7gEHH
obee1jacobei,2022-12-01 23:59:10+00:00,"Thanks @theestallion for spending 1,796 minutes with me in 2022. I couldn’t stop listening to Captain Hook. #SpotifyWrapped https://t.co/WwoSerVuio"
inamjoon1213,2022-12-01 23:59:10+00:00,"#SpotifyWrapped 

https://t.co/SpINvgNBZ4"
juiceboxmusi,2022-12-01 23:59:09+00:00,I HATE IRAQI SPOTIFY I JUST WANNA SEE MY FUCKJNG WRAPPED BRUH
